Title,Content,Cluster,Concept
Oedipus.txt,"Cadmos seeks his sister Europa, ravished by Zeus. Cadmos kils the dragon. The Spartoi kill one another. Labdacos (Laios’ father) = lame (?). Oedipus kills his father, Laois.  Laois (Oedipus' father) = left-sided(?). Oedipus kills the Sphinx. Oedipus=swollen-foot(?). Oedipus marries his mother, Jocasta. Eteocles kills his brother, Polynices. Antigone buries her brother, Polynices, despite prohibition.",1,Incest
Zuni.txt,Siblings use plants as ladders to emerge from lower world. Siblings incest results in origin of water. The gods kill children of men by drowning. Two Newekwes use wild plants for the migration. Two Newekwes compete in magical contest with Dew-People. Siblings are sacrificed for victory. Siblings are adopted for corn. Periodical character of agricultural work is showed. War happens against the Kyanakwe. Two War-Gods fight showing inevitability of warfare which results in salvation of the tribe. Siblings are sacrificed to avoid the Flood.,1,Incest
Bororo - Macaw.txt,Son raped Mother. Father noticed feathers on Mother. Father suspected Mother. Father organized Dance. Father discovered Son. Father ordered second Dance. Father again discovered Son. Father sent Son to Nest of Souls to bring Bapo. Son consulted Grandmother. Grandmother revealed mortal Danger. Grandmother sent Son to Hummingbird. Son waited on Shore. Hummingbird dropped Bapo. Souls fired arrows. Hummingbird flew fast and got away. Son returned home. Father sent son to bring Samll Rattle. Son consulted Grandmother. Grandmother revealed mortal Danger. Grandmother sent Son to Juriti-bird. Son waited on Shore. Juriti-bird dropped Bapo. Souls fired arrows. Juriti-bird flew fast and got away. Son returned home. Son stole Buttore. Grasshopper helped Son. Grasshopper flew slowly. Grasshopper was shot but survived. Father invited Son to capture Macaws. Grandmother did not know how to help. Grandmother gave Son Magic-Wand. Father ordered Son to climb Pole. Father knocked down Pole. Son thrust Magic-Wand in Crevice. Son remained hanging. Father went away. Son found creeper. Son dragged himself up. Son set out to look for food. Son made bow and arrows out of branches. Son hunted Lizards. Lizards smelled so bad Son fainted. Vultures devoured Lizards. Vultures attacked Son. Vultures ate Son's backside. Son drove off Vultures. Vultures lifted Son into air and deposited him at the foot of the mountain. Son made new backside with pounded tubers. Son disguised himself as a Lizard. Grandmother was amused by Son's antics. Son disguised as four birds. Son disguised as four butterfly. All firest went out except Grandmother's. Father's second Wife recognized Son. Father welcomed Son. Son broke off a api-tree branch. Brother made Father organize a hunt. Son disguised as Mea-rodent. Son disguised as Deer. Son impaled Father. Son dropped Father into Lake. Buiogoe-fish devoured Father. Son took revenge on Father's Wives.,2,Water
Bororo - Macaw - Variation - 1.txt,"Baitogogo was a principal chief. Baitogogo-Wife went to forest. Son follwed Baitogogo-Wife. Baitogogo-Wife raped by Ki-clan-Brother. Baitogogo took revenge on Ki-clan-Brother. Baitogogo strangled Baitogogo-Wife. Four Armadillos helped Baitogogo dig a trench under Baitogogo-Wife's bed. Baitogogo buried his Baitogogo-Wife. Son went looking for Baitogogo-Wife. Son became exhausted following false path. Son disguised as Bird. Son dropped droppings on Baitogogo. Droppings grew into huge Tree. Baitogogo left village. Baitogogo caused lakes and rivers to appears when he stopped to rest. At each appearance of lakes and river the tree shrank and disappeared. Baitogogo enchanted by his created landscape. Baitogogo left chieftainship to Father. Other chief also left. Both halves of chieftainship fell to Cera moiety. Chiefs brought gifts. When Baitogogo and Akaruio returned, their Father asked for all ornaments. He did not kill those who brought him many, but killed those who had brought him few.",2,Water
Bororo - Macaw - Variation - 2.txt,"Son refused to frequent Mens' House. Son remained shut in family hut. Grandmother was irritated. Grandmother poisoned Son every night. Son discorvered the trick of his Grandmother. Son killed Grandmother. Armadillos helped Son dig grave where Grandmother used to sleep. Indians organized an expedition to poison fish and so obtained food for their dinner. The day after the murder the women returned to the fishing ground in order to gather the remaining dead fish. Before leaving, Birimoddo-Sister wanted to put her young son in Grandmother's care. Grandmother did not answer her call. Birimoddo-Sister set her child on the branch of a tree and told him to wait there until she came back. Birimoddo-Sister-Daughter changed into an anthill. The river was full of dead fish, but instead of making several trips back and forth in order to transport them as her companions did, Birimoddo-Sister ate them voraciously. Birimoddo-Sister's stomach started to swell, and she began to feel acute pains. So Birimoddo-Sister moaned, and as Birimoddo-Sister uttered her moans, diseases were released from her body: all the diseases, with which she infected the village, sowed death among men. This is how diseases originated. Birimoddo-Sister's two brothers decided to kill her with spikes.",2,Water
Bororo - Macaw - Disease,"After a flood the earth became reinhabited; but previously men had been increasing to such an extent that Meri, the sun, was afraid and looked round for a way to reduce their numbers. He therefore ordered the entire population of a village to cross a wide river by means of a bridge made from a tree trunk, which he had specially chosen because it was not very strong. It did, in fact, snap under the load; and all the people perished, with the exception of one man called Akaruio Bokodori, who could only walk slowly because his legs were deformed. The hair of those who were sucked into the whirlpools turned wavy or curly; the hair of those who drowned in calm waters was fine and smooth. This became clear after Akaruio Bokodori had brought them all back to life by incantations with a drum accompaniment. He brought back first the Buremoddodogue, then the Rarudogue, the Bitodudogue, the Pugaguegeugue, the Rokuddudogue, the Codogue, and finally the Boiugue, who were his favorites. But of all these newly returned people, he welcomed only those whose gifts he approved of. He shot down all the others with his arrows and so was dubbed Mamuiauguexeba ""killer"" or Evidoxeba ""cause-death.""",3,Disease
Ge - Variation - 4.txt,"Formerly men were unacquainted with fire and dried their meat by laying it out in the sun on a flat stone, so that it was not completely raw. In those days a man once took his young brother-in-law on an expedition to rob macaws' nests in a cleft of a vertical cliff. But the fledglings made such an outcry that the boy did not dare take hold of them. The man grew angry, knocked down the ladder, and went off. The hero remained sitting by the nest, suffering from thirst, his head covered with birds' droppings, ""so that maggots grew there; and the young birds soon lost all fear of him."" What follows is identical with the Apinaye version. It is explained, however, that the jaguar's wife was pregnant and could not bear the slightest noise; she therefore flew into a rage whenever the hero made a noise as he chewed the grilled meat his adopted father had given him. But try as he might, he could not eat silently, since the meat was too crisp. With the weapons given him by the jaguar, he wounded the wife in the paw and fled. The wife, hampered by her pregnancy, was unable to follow him. The hero recounted his adventure to his father, who summoned all his companions. They placed runners at intervals all the way to the jaguar's house and organized a relay system: the burning log was passed from hand to hand and finally reached the village. The jaguar's wife begged them in vain to leave her a burning ember; the toad spat on all those that remained, and put them out.",4,Fire
Ge - Variation - 6.txt,"One day a man went into the woods with his little brother-in-law in order to take young macaws out of a nest in the hollow of a tree. The man made his brother-in-law climb a pole; but when he got up there, the young man declared that there were only eggs there. When the man said he knew there were young in the nest, the hero took a white stone in his mouth and threw it down. The stone turned into an egg that was smashed against the ground. The man was angry, pulled away the ladder, and went home, leaving the hero in the tree where he was forced to remain for five days. Then a jaguar passed by and asked what he was doing up there, made him first throw down the two young macaws (which were in fact in the nest), told him to jump after them, and, growling, caught the boy between his front paws. Then the boy was very much afraid, but nothing happened to him. The jaguar carried the hero on his shoulders until they came to a creek. Although the boy was suffering greatly from thirst, he was not allowed to drink, because, as the jaguar explained, the water belonged to the camon vulture (urubu). The same thing happened at the second creek, because the water there belonged to ""the little birds."" Finally, at the third creek, the hero drank so much as to drain the whole creek, in spite of the entreaties of the alligator, 15 the owner of the creek. The hero was given a chilly welcome by the jaguar's wife, who reproached her husband for having brought back ""a lean and ugly boy."" She called the boy to delouse her, but when she had him between her paws, she frightened him with her growls. He complained to the jaguar, who made him a bow and arrows and ornaments, gave him two basketfuls of roast meat, and helped him back to his village, after advising him to aim for the wife's carotid, should she try to pursue him. Everything happened as had been foreseen, and the wife was killed. Shortly afterward the young man heard people coming. It was his two brothers, to whom he revealed his identity, and who ran home to tell their mother. ""You lie,"" said their mother. ""He's been dead long since."" But the boy concealed himself again. He came out of hiding on the occasion of the Aikman funeral festival. Everybody was amazed when they saw the roast meat he had brought back. ""Why, how is it roasted?"" ""In the sunshine,"" the boy kept repeating, although he finally revealed the truth to his uncle. An expedition was organized to capture fire from the jaguar. The mutum and the water fowl, both good runners, seized the trunk, but the jacu, following them, picked up the scattered embers.",4,Fire
Ge - Variation - 1.txt,"Noticing that a pair of macaws had built their nest on top of a steep rock, a Indian took his young brother-in-law, Botoque, with him to help him to capture the nestlings. He made Botoque climb up an improvised ladder; but when the boy got up to the nest, he said that he could find only two eggs. (It is not clear whether he was lying or telling the truth.) His brother-in-law insisted that he should take them; but as the eggs fell down, they changed into stones which hurt the older man's hand. This made him furious, with the result that he dismantled the ladder and went away, not realizing that the birds were enchanted (oaianga) (?). Botoque remained caught on top of the rock for several days. He grew thin: hunger and thirst obliged him to eat his own excrement. Eventually he noticed a spotted jaguar carrying a bow and arrow and all kinds of game. He would have liked to call out to it for help, but fear kept him silent. The jaguar saw the hero's shadow on the ground and, after trying in vain to catch it, looked up, asked what had happened, repaired the ladder, and invited Botoque to come down. The latter was afraid and hesitated a long time; in the end he made up his mind, and the jaguar, in friendly fashion, suggested that if he would sit astride its back, it would take him to its home to have a meal of grilled meat. But the young man did not understand the meaning of the word ""grilled"" because in those days, the Indians were unacquainted with fire and ate their meat raw. At the jaguar's home the hero saw a big jatoba trunk burning; beside it was a pile of stones such as the Indians now use to build their earth ovens. He ate his first meal of cooked meat. But the jaguar's wife, who was a Indian, disliked the young man and referred to him as me-on\ra-tum ""foreign, or abandoned, son""; in spite of this, the jaguar, being childless, decided to adopt him. Each day the jaguar went off to hunt, leaving the adopted son with the wife whose aversion for him steadily increased; she gave him only old wizened pieces of meat to eat, and leaves. When the boy complained, she scratched his face, and the poor child had to take refuge in the forest. The jaguar scolded the wife, but in vain. One day it gave Botoque a brand new bow and some arrows, taught him how to use them, and advised him to use them against the woman, should the need arise. Botoque killed her by shooting an arrow into her breast. He fled in terror, taking with him the weapons and a piece of grilled meat. He reached his village in the middle of the night, groped his way to his mother's bed, and had some difficulty in making his identity known (because he was thought to be dead); he told his tale and shared the meat. The Indians decided to get possession of the fire. When they arrived at the jaguar's home, there was no one there; and since the wife was dead, the game caught the day before had not been cooked. The Indians roasted it and took away the fire. For the very first time it was possible to have light in the village at night, to eat cooked meat, and to warm oneself at a hearth. But the jaguar, incensed by the ingratitude of his adopted son, who had stolen ""fire and the secret of the bow and arrow,"" was to remain full of hatred for all living creatures, especially human beings. Now only the reflection of fire could be seen in its eyes. It used its fangs for hunting and ate its meat raw, having solemnly renounced grilled meat.",4,Fire
Ge - Variation - 2.txt,"Formerly, men did not know how to make fire. When they killed game, they cut the flesh into thin strips, which they laid out on stones to dry in the sun. They also ate rotten wood. One day a man noticed two macaws coming out of a hole in a cliff. To get at their nest, he made his young brother-in-law (his wife's brother) climb a tree trunk in which he had cut foot holds. But there were nothing but round stones in the nest. An argument ensued, degenerating into a quarrel, which ended as in the previous version. In this case, however, it seems that the lad, annoyed by his brother-in-law's taunts, threw the stones deliberately and wounded him. In response to his wife's anxious inquiries, the man said the boy must have got lost, and to allay suspicion, he pretended to go and look for him. Meanwhile, suffering extreme hunger and thirst, the hero was reduced to eating his excrement and drinking his urine. He was nothing but skin and bone when a jaguar came along carrying a caititu pig on his shoulders; the animal noticed the boy's shadow and tried to catch it. On each occasion the hero moved back and the shadow disappeared. ""The jaguar looked all round, then covering its mouth, looked up and saw the lad on the rock."" They entered into conversation. Explanations and discussions took place as in the preceding version. The hero was too frightened to sit directly on the jaguar but agreed to bestride the caititu, which the latter was carrying on his back. They reached the jaguar's home, where his wife was busy spinning. She reproached her husband, saying ""you have brought home another's son."" Unperturbed, the jaguar announced that he was going to adopt the boy as his companion, and intended to feed him and fatten him up. But the jaguar's wife refused to give the lad any tapir meat and allowed him only venison and threatened to scratch him at the slightest opportunity. Acting on the jaguar's advice, the boy killed the woman with the bow and arrow given him by his protector. He went off with the jaguar's belongings: the spun cotton, the meat, and the burning ash. When he reached his village, he made himself known first to his sister, then to his mother. He was summoned to the ngobe ""men's house,"" where he related his adventures. The Indians decided to change themselves into animals to take possession of the fire: the tapir would carry the trunk, the yao bird would put out the burning ash that might be dropped on the way, while the deer would take charge of the meat, and the peccary of the spun cotton. The expedition was a success, and the men shared the fire between them.",4,Fire
